,Transaction ID,Transaction Date,Menu,Category,Menu ID,Qty,Price,Total Spent,Payment Method,Order Type
0,SUN-3835107,2023-06-22,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Dine In
1,SUN-8191346,2023-07-06,Caramel Machiato,Drinks,DRK-04,1,38000,38000,unknown,Take Away
2,SUN-7920383,2023-10-03,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
3,SUN-6464422,2023-12-13,Grill Chicken Caesar Salad,Food,unknown,3,42000,126000,Debit Card,Dine In
4,SUN-2014718,2023-01-13,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Debit Card,Take Away
5,SUN-7542218,2023-02-22,New York Cheesecake,Dessert,DST-03,1,42000,42000,Digital Wallet,Dine In
6,SUN-5330146,2023-10-28,Espreso Single,Drinks,DRK-01,1,22000,22000,Digital Wallet,Online Order
7,SUN-3755609,2023-12-13,Caramel Machiato,Drinks,DRK-04,1,38000,38000,unknown,Online Order
8,SUN-4316847,2023-04-01,New York Cheesecake,nan,nan,3,42000,126000,Cash,Dine In
9,SUN-9100246,2023-04-24,Iced Americano,Drinks,DRK-02,3,unknown,84000,Cash,Take Away
10,SUN-3821421,2023-11-14,Choco Lava Cake,Dessert,DST-04,1,35000,35000,Debit Card,Take Away
11,SUN-7147217,2023-06-04,New York Cheesecake,Dessert,DST-03,4,42000,168000,Digital Wallet,Online Order
12,SUN-4825977,2023-04-10,Nasi Goreng Kampung,Food,FOD-03,2,38000,76000,Digital Wallet,Take Away
13,SUN-5748405,2023-10-30,Nasi Goreng Kampung,Food,FOD-03,2,missing,76000,Digital Wallet,Take Away
14,SUN-2252707,2023-04-04,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Dine In
15,SUN-5365865,2023-05-30,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,nan,Dine In
16,SUN-5552295,2023-08-23,Grill Chicken Caesar Salad,nan,FOD-04,error,42000,168000,Debit Card,Take Away
17,SUN-6429304,2023-07-20,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine In
18,SUN-2229056,2023-02-01,Iced Americano,nan,DRK-02,4,28000,112000,Digital Wallet,Online Order
19,SUN-2101618,2023-01-11,missing,Food,FOD-05,1,45000,45000,error,Dine In
20,SUN-1231054,missing,Espreso Single,Drinks,DRK-01,2,nan,44000,nan,Dine In
21,SUN-9323540,2023-10-03,Club Sandwich,Food,FOD-05,2,45000,90000,Cash,Take Away
22,SUN-5000030,2023-11-02,Grill Chicken Caesar Salad,Food,FOD-04,1,42000,42000,nan,Dine In
23,SUN-7129459,2023-07-16,Cinnamon Roll,Dessert,DST-05,3,28000,84000,Cash,Dine In
24,SUN-5719631,2023-10-26,missing,Food,FOD-05,1,nan,45000,Cash,Take Away
25,SUN-2810366,2023-05-01,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,Debit Card,unknown
26,SUN-8497237,2023-06-15,Cinnamon Roll,Dessert,DST-05,1,nan,28000,Debit Card,Dine In
27,SUN-3213517,2023-10-15,Espreso Single,Drinks,DRK-01,3,nan,66000,Debit Card,Dine In
28,SUN-6569344,2023-02-15,Club Sandwich,Food,FOD-05,3,45000,135000,Digital Wallet,unknown
29,SUN-9343698,2023-04-21,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Online Order
30,SUN-1537063,2023-02-15,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
31,SUN-2317971,2023-06-15,Espreso Single,Drinks,DRK-01,missing,22000,88000,Debit Card,Online Order
32,SUN-6683769,2023-12-23,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Debit Card,Online Order
33,SUN-6644096,2023-02-18,Creamy Maycha Latte,error,DRK-05,4,missing,140000,Digital Wallet,Take Away
34,SUN-9455137,2023-05-20,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Digital Wallet,Dine In
35,SUN-9674213,2023-05-28,missing,Food,FOD-01,3,error,144000,Debit Card,Take Away
36,SUN-1366257,2023-11-26,Cinnamon Roll,Dessert,DST-05,2,28000,56000,Cash,unknown
37,SUN-9663603,2023-03-16,Iced Americano,Drinks,DRK-02,3,28000,unknown,error,Dine In
38,SUN-2527896,2023-07-03,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
39,SUN-2039133,2023-04-06,missing,Dessert,DST-01,2,38000,76000,Cash,Dine In
40,SUN-6919180,2023-01-08,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Debit Card,unknown
41,SUN-6434420,2023-10-01,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,missing,Online Order
42,SUN-4127465,2023-01-23,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Take Away
43,SUN-9959752,2023-04-13,Nasi Goreng Kampung,Food,FOD-03,4,38000,error,Cash,nan
44,SUN-5257512,2023-07-01,Cafe Latte,Drinks,DRK-03,missing,32000,32000,error,Online Order
45,SUN-1659564,2023-06-27,Caramel Machiato,Drinks,DRK-04,4,missing,152000,Debit Card,nan
46,SUN-8746790,2023-02-12,Choco Lava Cake,Dessert,DST-04,missing,35000,140000,Cash,Dine In
47,SUN-7551943,2023-12-24,Cafe Latte,Drinks,DRK-03,1,unknown,missing,Digital Wallet,error
48,SUN-7998776,2023-10-01,New York Cheesecake,Dessert,DST-03,1,42000,42000,Cash,unknown
49,SUN-9532935,2023-12-18,unknown,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
50,SUN-8615982,2023-02-03,unknown,Food,FOD-04,1,42000,42000,Debit Card,Online Order
51,SUN-2128658,2023-09-22,Grill Chicken Caesar Salad,Food,FOD-04,error,42000,168000,Cash,Dine In
52,SUN-2709499,2023-04-17,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Dine In
53,SUN-1579713,2023-07-17,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,Take Away
54,SUN-6424168,2023-12-04,Espreso Single,missing,DRK-01,3,missing,66000,Digital Wallet,Dine In
55,SUN-8316112,2023-04-12,missing,Drinks,DRK-03,3,32000,96000,Debit Card,Dine In
56,SUN-2723542,2023-09-22,Fudgy Brownies,Dessert,missing,2,25000,50000,Cash,Dine In
57,SUN-1146065,2023-02-28,Cafe Latte,Drinks,DRK-03,1,32000,32000,Digital Wallet,Online Order
58,SUN-1366043,2023-04-28,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Cash,error
59,SUN-6726508,2023-12-21,Espreso Single,missing,DRK-01,1,22000,22000,Debit Card,Online Order
60,SUN-4885650,2023-06-03,missing,Food,FOD-02,1,52000,52000,Debit Card,Online Order
61,SUN-2774696,2023-07-08,Club Sandwich,Food,FOD-05,2,45000,90000,Cash,Dine In
62,SUN-2925668,2023-04-17,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Digital Wallet,error
63,SUN-3704015,2023-02-12,Fudgy Brownies,unknown,DST-02,missing,25000,75000,Cash,Dine In
64,SUN-4481094,2023-06-04,Beef Carbonara Pasta,Food,FOD-02,2,52000,unknown,Digital Wallet,Dine In
65,SUN-9246459,2023-08-16,Club Sandwich,Food,FOD-05,3,45000,135000,Digital Wallet,Take Away
66,SUN-8741366,2023-06-16,Creamy Maycha Latte,Drinks,DRK-05,1,35000,missing,Debit Card,Online Order
67,SUN-6459066,2023-10-11,Classic Tirmaisu,Dessert,DST-01,3,38000,unknown,Digital Wallet,Online Order
68,SUN-2332422,2023-05-13,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Digital Wallet,Online Order
69,SUN-9466267,2023-08-12,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Cash,Take Away
70,SUN-6731099,2023-10-10,Choco Lava Cake,unknown,DST-04,3,35000,105000,Digital Wallet,Dine In
71,SUN-6096734,2023-12-01,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Digital Wallet,missing
72,SUN-5865247,2023-06-05,nan,Dessert,DST-04,2,35000,70000,Debit Card,Take Away
73,SUN-4544157,2023-01-15,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Digital Wallet,Take Away
74,SUN-7247827,2023-09-20,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Cash,Dine In
75,SUN-7947139,2023-07-12,Fudgy Brownies,Dessert,error,nan,25000,50000,Digital Wallet,Online Order
76,SUN-6274006,2023-11-15,Iced Americano,Drinks,unknown,1,28000,28000,nan,Online Order
77,SUN-6748316,2023-06-17,Iced Americano,Drinks,DRK-02,3,28000,84000,error,Online Order
78,SUN-6641456,2023-05-15,Buttermilk Fried Chicken,Food,FOD-01,2,48000,96000,Debit Card,Take Away
79,SUN-5987471,2023-01-23,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,nan,Digital Wallet,Dine In
80,SUN-4720429,2023-06-16,Club Sandwich,Food,FOD-05,1,45000,nan,Debit Card,Take Away
81,SUN-8298101,2023-08-23,New York Cheesecake,Dessert,DST-03,3,42000,126000,missing,Online Order
82,SUN-9494169,2023-10-09,Buttermilk Fried Chicken,Food,FOD-01,2,48000,error,Digital Wallet,nan
83,SUN-5663995,2023-11-08,unknown,Food,FOD-05,4,45000,180000,Debit Card,unknown
84,SUN-4793340,2023-03-20,New York Cheesecake,unknown,DST-03,2,42000,84000,Debit Card,Online Order
85,SUN-4685044,2023-08-05,Grill Chicken Caesar Salad,Food,FOD-04,error,42000,126000,Debit Card,Take Away
86,SUN-1140911,2023-10-21,Espreso Single,Drinks,DRK-01,nan,22000,88000,Digital Wallet,Online Order
